Hogs (no. of head),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin,,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Mexico,Canada,Other states,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,247,5,,,,,413,22672,,,1200,980,244823,,7270.22498803255,,,,,1905,1025,13700,8,,585,,,,,,10000,,851,,,,,,940,17645,,,,,,,,,,,,324269.224988033
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,31,,,,,,,,,,,1,,,,,,,,8100,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,8982
Arkansas,,291,,67,,6,,,,,11,16,,,13233,2430,241204,452,,19,,,,323,36907,1,589534,,950,,,,,,10272,,17,5596,,,,,1900,1275,35,,,,,,,,,,,904539
California,,,,,,,,,,,,,,,9415,,4843,,,,,,,,1413,,1,,,9,,,,,35,,,,144,,,,,,,,,,,,,,,,,15860
Colorado,,,,,,20,,,,,,,,,64790,28600,316678,248742,,,,,,,203033,100,41934,,,,,,,,1267,,,,1,,,,208887,,,,,,,1,,234,,,,1114287
Connecticut,,,,,,,,,,,,2,,,,,,,,,,1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
Delaware,,,,,,,,,,,,,,,,,,,,,,1284,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,1564
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,,,,1,1,,,,,,5124,,,39,,,,,1,,2,,,,,,,,,,13,,,,,,,,,,27,,2359,2965,,,8,,,,,,,,10540
Georgia,,147332,,1,,,,,,,2152,,,,2805,5500,98494,,16252.991862135,,,,,1,2458,3201,2400,,1200,,,,,,23722,,3313,1387,,7120,,69,,8235,450,,,450,,,762,,,,,327304.991862135
Hawaii,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Idaho,,,2,,,51,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,213,,,,,,,,,,,,,,,,,268
Illinois,,92,,28,62,496,120,,,,234,86,,,,113245,1424813,4278,16963.8583054093,500,,,3,22640,117647,37,98050,,8725,2,,,35,9,35793,,96974,2109,33,93,1,14,3295,7927,957,,,90,,,16207,,,,,1971558.85830541
Indiana,,46,,,12,8,,,,,4,877,,,101857,,225425,69,2584.9688846338,,,8,,,1347,55,306,,,2,,,,,14629,,,,18,,,,12330,,,,,,,12,,,,,,359589.968884634
Iowa,,170,,,999,14237,,,,,69,431,,,190481,1435,,9821,9693.63331737674,,,37,,,860950,39,13890,,34405.29,,,,,,15448,,10114.23,1218.78,104,98,,,11698,,10114.23,,,,,,1218.78,27,,,21896,1208594.94331738
Kansas,,12,,,691,71,18144,,,,,75,,,13947,14847,157764,,258.49688846338,4,,4,,354,22554,521,144338,,59895,,,,25,,3786,,177,7676,,,,,359,66,2316,17,,,,19,21,24,,,34300,482265.496888463
Kentucky,,130,,,18253,,,,,,,899,,,16205,45788,17658,1999,,,,6,,,2816,48,2406,,,,,,,,590,,,,,,,,1071,,,,,,,,,,,,,107869
Louisiana,,,,,,1,,,,,33,,,,,,,,,,,208,,,,,,,,,,,,,2382,,,,,,,,,,,,,,,,,7,,,,2631
Maine,,,,,,45,,,,,,233,,,36,,,,,,,,986,,27,,44,,,,57,13,,,18,,,,,,,,,,,,,,,,,,,,,1459
Maryland,,,,,,31,,,53,,,,,,1,,,,,,,,,,2,,12,12,,,,,,17,9,,2,,,2253,3,,,,,,,341,,22,,,,,,2758
Massachusetts,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,76,,,46,,,,,,2,,,,,,,2,4,,,,,,,,136
Michigan,,,,,,2,,,,,,,,,6745,81932,9232,6,35511.0100526568,,,,,,7759,,178,,,,,,,,13220,,,,,,,,,,,,,,,3,,,,,,154588.010052657
Minnesota,,,,,1,,14917,,,,,550,,2,1101,1380,1656184,5243,613.930110100527,,,,,976,,,6157,443,46374,,,,,22,1248,1132,3866,18,2,2571,,,134537,173,45,,,,1,14,30893,,,,1,1908464.9301101
Mississippi,,,,,,350,,,,,,1,,,461,,,,,,,1,1,,,,,,11,,,,,1,2920,,,,,,,,,129,8,,,,,,,,,,153,4036
Missouri,,2,,12,48494,645,2134,,,,,177,,,223313,45820,2389932,21894,,5,,290,1,22921,117548,139,,,18003,3113,,1,8,10,6087,,1361,5069,13,215,,,22608,9223,319,,,,2,,127,,,,,2939486
Montana,,,,,,815,,,,,,,,,,,9900,,,,,,,,4105,,,,,,,,,,,,,,,,,,4837,,,,,,,,,47,,,,19704
Nebraska,,,,,185,8496,,,,,,,,,34093,25375,1152749,85792,11761.6084250838,,,1015,1,,725790,35,14074,,,,,,,,2075,,,,2,,,,141312,,,,,,,,,17,,,,2202772.60842508
Nevada,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
New Hampshire,,2,,,,,,,,,,15,,,6,,,,,,275,60,141,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
New Mexico,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
New York,,,,,,,,,,,,2,,,,,,,,,,200,4,,,,,,,,,87,,,1,,,,,,,,,,,,,,,,,,,,,294
North Carolina,,27275,,,,,,,6600,,87,13301,,,776744,408824,1216195,4003,3231.21110579225,,,,,7207,55866,73220,231883,,20900,,,,,,,,130164,2015,,54309,,176474,15800,29879,3,,,136736,,,2425,,,,,3393141.21110579
North Dakota,,,,,,190,,,,,1,,,,8030,,15397,,969.363331737674,,,,,,126132,,,,,,,,,,,,,,,,,,1839,,,,,,,,,10,,,,152568.363331738
Ohio,,7,,,21,108,,,,,,10,,,2601,193579,25456,157,549.305887984682,,,27,8,,2738,75,71,,,1,,17,,,8768,,,,,,,,1,,,,,,,26,,,,,,234220.305887985
Oklahoma,,1082,,,52520,16762,,,,,,2656,,,47536,28475,1477925,82357,,,,,,,129194,35,397676,,,,,,,,392,,,,9,,,,22141,,,,,,,1,,38,,,,2258799
Oregon,,,,,,195,,,,,,,,,3,,4,,,,,6,,,4,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,232
Pennsylvania,,,,,,29,,,,,,,,,1283,15810,1016,,,,,2120,24,,117,,34,,,,,661,,,,,,,,,,,,,,,,,,16,,,,,,21110
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
South Carolina,,,,,,,,,,,17,106,,,60,1100,,,,,,7,,,,,,,,,,,,,90834,,,,,,,,,,,,,,,,,,,,,92124
South Dakota,,2355,,,,404,229,,,,,,,1590,2735,,363885,4989,,,,,,,306309,,1,1172,98676,,,,,,,261,0,309,3,2733,,,,,25,,,,,,,101,,2181,,787958
Tennessee,,,,,,805,,,,,1699,2,,,34149,837,47036,,3231.21110579225,,,,,,5917,,601,,,,,,,,1320,,,,,,,,,,,,,,,,,,,,,95597.2111057922
Texas,,,,,,183,,,,,,205,,,317,,82434,2872,,,,,7,,5400,,36867,,,,,8,,,25,,,,1,,,,175095,,,,,,,,,2,,,,303416
Utah,,,,,,4883,,,,,,,,,2650,,16005,960,,,,,,,3,,2468,,,32,,,,,,,,,1,,,,9,,,,,,,,,,,,,27011
Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,36,,,1930,3320,,,,,,25,,,2,,,,,,,,,,34723,,,,,,,,,,,,,,,3,,,,,,40039
Washington,,,4,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,117
West Virginia,,,,,,,,,,,,,,,,,,,,,,45,21,,,,,,,,,,1,,,,,,,70,,,,,,,,,,,,,,,,137
Wisconsin,,,,,,57,2379,,5,,20,31,,,18927,500,110098,1141,13764.959310675,,,11,,880,33922,,1528,,1081,2,,,38,,830,,859,671,1,480,,62,1008,7,59,,,61,,,,62,,,,188484.959310675
Wyoming,,,,,,11001,674,,,,,,,370,2396,,84761,20,,,,105,,,67822,,254,23,6484,,,,10,7,,,320,250,,7810,,,7501,,,11,,,,,,,,,,189819
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,6590,,,,,800,74,,,24440,22028,1662037,3072,12343.2264241264,,,,3599,,912246,,2320,,,,,,,,,16515,,,,,,,145137,,,,,,,,,,,,,2811201.22642413
Other states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354,,,,,,,,,,,,,,,,,,,,2354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,178796,6,108,121486,66619,38597,,6658,,5540,47581,0,1962,1603529,1041805,13051949,477867,135000,529,275,5468,4886,57207,3759160,91206,1587035,1650,297289.29,3163,133,1080,117,112,280414,20262,248018.23,26318.78,646,77754,4,176646,913155,76918,17296.23,28,2,137690,3,117,51653.78,569,,2181,56350,24672839.31
